region,country,province,status,elapsed_s,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Rate of Mortality Rate Decay,Internal Parameter 1,Internal Parameter 2,Jump Magnitude,Jump Time,Jump Decay,MAPE,Data Start Date
Andorra,Andorra,,ok,260.3,1.25,-10.0,2.5441724701732946,0.0886191696087359,0.0839478788940665,0.4741391017176434,10.0,10.0,5.0,0.9222861684649152,0.7481438336395388,2.9243530279613497,2020-03-15
Australia - Australian Capital Territory,Australia,Australian Capital Territory,ok,270.9,0.75,-10.0,3.0,0.1484562087309922,0.0302027928672317,0.2453333579842244,9.42910641706989,10.0,2.8438455547906862,0.0,0.7638971046488118,0.6664435192123198,2020-03-15
Australia - New South Wales,Australia,New South Wales,ok,243.8,0.75,-10.0,3.0,0.0508490549698356,0.01564041154268,0.0,1.4898418076967137,1.6084553264245356,1.7276003603560082,2.13773100797074,1.6597069508469733,0.8412514655410384,2020-03-15
Australia - South Australia,Australia,South Australia,ok,251.9,0.75,-10.0,3.0,0.0673056249729372,0.01,0.5,0.5493915190500481,4.180253828645438,0.8479803711732075,0.49512993265749,0.1,4.778027793757595,2020-03-15
Australia - Tasmania,Australia,Tasmania,ok,317.3,0.75,10.0,3.0,0.1460173241083014,0.0577798648249821,1.9284065999751407e-06,0.922069851640552,0.1,2.0269505392231566,6.305224681449122,0.5030888094460927,1.442217931473254,2020-03-15
Australia - Western Australia,Australia,Western Australia,ok,279.0,0.7646302002014183,-9.999299882699452,2.999061266605566,0.09171313307825,0.014166602463179,0.0,3.490617137760608,2.7104106551570406,3.145001811128456,3.463472824260302,1.0427531540568913,2.019758807686484,2020-03-15
Belarus,Belarus,,ok,254.3,1.25,10.0,1.0,0.05,0.01,0.3394645053167551,0.4643117853536645,0.1086764686430335,2.467289801739269,2.907593586394859,0.3217445407241136,12.368648535920508,2020-03-15
Canada - New Brunswick,Canada,New Brunswick,ok,210.4,0.75,-10.0,1.20985214299715,0.05,0.01,0.0456181309546899,0.1,9.568388416129478,0.0,0.2450730018779916,0.4520373073813125,17.942986162174947,2020-03-15
Canada - Newfoundland and Labrador,Canada,Newfoundland and Labrador,ok,296.4,0.75,-10.0,3.0,0.2817953208803379,0.0120468037699992,0.4998002619721985,7.928210429948436,7.344036397285898,4.999990609190951,2.4372854495664766,1.157375165360497,0.8185510082092,2020-03-15
Canada - Ontario,Canada,Ontario,ok,251.8,1.25,-4.043891691132383,1.0,0.1607280446787022,0.0827760790765949,0.0,0.3547854158958401,0.4674861950730297,0.0,0.8842478161499532,2.519618015688677,1.299255078967776,2020-03-15
