region,country,province,cap_ratio,eval_days,capped_days,capped_fraction,mean_policy_over_arctan_ratio
Andorra,Andorra,None,0.0,0,0,0.0,0.0
Australia - Australian Capital Territory,Australia,Australian Capital Territory,0.0,0,0,0.0,0.0
Australia - New South Wales,Australia,New South Wales,0.0,0,0,0.0,0.0
Australia - Queensland,Australia,Queensland,0.0,0,0,0.0,0.0
Australia - South Australia,Australia,South Australia,0.0,0,0,0.0,0.0
Australia - Tasmania,Australia,Tasmania,0.0,0,0,0.0,0.0
Australia - Western Australia,Australia,Western Australia,0.0,0,0,0.0,0.0
Austria,Austria,None,0.0,0,0,0.0,0.0
Belarus,Belarus,None,0.0,0,0,0.0,0.0
Canada - New Brunswick,Canada,New Brunswick,0.0,0,0,0.0,0.0
Canada - Newfoundland and Labrador,Canada,Newfoundland and Labrador,0.0,0,0,0.0,0.0
Canada - Ontario,Canada,Ontario,0.0,0,0,0.0,0.0
Canada - Quebec,Canada,Quebec,0.0,0,0,0.0,0.0
Cuba,Cuba,None,0.0,0,0,0.0,0.0
Cyprus,Cyprus,None,0.0,0,0,0.0,0.0
Czechia,Czechia,None,0.0,0,0,0.0,0.0
Denmark,Denmark,None,0.0,0,0,0.0,0.0
Dominican Republic,Dominican Republic,None,0.0,0,0,0.0,0.0
Estonia,Estonia,None,0.0,0,0,0.0,0.0
Finland,Finland,None,0.0,0,0,0.0,0.0
France,France,None,0.0,0,0,0.0,0.0
Germany,Germany,None,0.0,0,0,0.0,0.0
Iceland,Iceland,None,0.0,0,0,0.0,0.0
Ireland,Ireland,None,0.0,0,0,0.0,0.0
Italy,Italy,None,0.0,0,0,0.0,0.0
Latvia,Latvia,None,0.0,0,0,0.0,0.0
Liechtenstein,Liechtenstein,None,0.0,0,0,0.0,0.0
Malaysia,Malaysia,None,0.0,0,0,0.0,0.0
Monaco,Monaco,None,0.0,0,0,0.0,0.0
New Zealand,New Zealand,None,0.0,0,0,0.0,0.0
Norway,Norway,None,0.0,0,0,0.0,0.0
San Marino,San Marino,None,0.0,0,0,0.0,0.0
Spain,Spain,None,0.0,0,0,0.0,0.0
Sweden,Sweden,None,0.0,0,0,0.0,0.0
Switzerland,Switzerland,None,0.0,0,0,0.0,0.0
Thailand,Thailand,None,0.0,0,0,0.0,0.0
Turkey,Turkey,None,0.0,0,0,0.0,0.0
US - Connecticut,US,Connecticut,0.0,0,0,0.0,0.0
US - Delaware,US,Delaware,0.0,0,0,0.0,0.0
US - Illinois,US,Illinois,0.0,0,0,0.0,0.0
US - Massachusetts,US,Massachusetts,0.0,0,0,0.0,0.0
US - Michigan,US,Michigan,0.0,0,0,0.0,0.0
US - New Hampshire,US,New Hampshire,0.0,0,0,0.0,0.0
US - New Jersey,US,New Jersey,0.0,0,0,0.0,0.0
US - New York,US,New York,0.0,0,0,0.0,0.0
US - North Dakota,US,North Dakota,0.0,0,0,0.0,0.0
US - Pennsylvania,US,Pennsylvania,0.0,0,0,0.0,0.0
US - Rhode Island,US,Rhode Island,0.0,0,0,0.0,0.0
US - South Dakota,US,South Dakota,0.0,0,0,0.0,0.0
