region,country,province,cap_ratio,eval_days,capped_days,capped_fraction,mean_policy_over_arctan_ratio
Afghanistan,Afghanistan,None,0.0,0,0,0.0,0.0
Albania,Albania,None,0.0,0,0,0.0,0.0
Algeria,Algeria,None,0.0,0,0,0.0,0.0
Andorra,Andorra,None,0.0,0,0,0.0,0.0
Angola,Angola,None,0.0,0,0,0.0,0.0
Argentina,Argentina,None,0.0,0,0,0.0,0.0
Australia - Australian Capital Territory,Australia,Australian Capital Territory,0.0,0,0,0.0,0.0
Australia - New South Wales,Australia,New South Wales,0.0,0,0,0.0,0.0
Australia - Queensland,Australia,Queensland,0.0,0,0,0.0,0.0
Australia - South Australia,Australia,South Australia,0.0,0,0,0.0,0.0
Australia - Tasmania,Australia,Tasmania,0.0,0,0,0.0,0.0
Australia - Victoria,Australia,Victoria,0.0,0,0,0.0,0.0
Australia - Western Australia,Australia,Western Australia,0.0,0,0,0.0,0.0
Austria,Austria,None,0.0,0,0,0.0,0.0
Azerbaijan,Azerbaijan,None,0.0,0,0,0.0,0.0
Bahrain,Bahrain,None,0.0,0,0,0.0,0.0
Bangladesh,Bangladesh,None,0.0,0,0,0.0,0.0
Belarus,Belarus,None,0.0,0,0,0.0,0.0
Belgium,Belgium,None,0.0,0,0,0.0,0.0
Benin,Benin,None,0.0,0,0,0.0,0.0
Bolivia,Bolivia,None,0.0,0,0,0.0,0.0
Bosnia and Herzegovina,Bosnia and Herzegovina,None,0.0,0,0,0.0,0.0
Brazil,Brazil,None,0.0,0,0,0.0,0.0
Bulgaria,Bulgaria,None,0.0,0,0,0.0,0.0
Burkina Faso,Burkina Faso,None,0.0,0,0,0.0,0.0
Burundi,Burundi,None,0.0,0,0,0.0,0.0
Cambodia,Cambodia,None,0.0,0,0,0.0,0.0
Cameroon,Cameroon,None,0.0,0,0,0.0,0.0
Canada - Alberta,Canada,Alberta,0.0,0,0,0.0,0.0
Canada - British Columbia,Canada,British Columbia,0.0,0,0,0.0,0.0
Canada - Manitoba,Canada,Manitoba,0.0,0,0,0.0,0.0
Canada - New Brunswick,Canada,New Brunswick,0.0,0,0,0.0,0.0
Canada - Newfoundland and Labrador,Canada,Newfoundland and Labrador,0.0,0,0,0.0,0.0
Canada - Nova Scotia,Canada,Nova Scotia,0.0,0,0,0.0,0.0
Canada - Ontario,Canada,Ontario,0.0,0,0,0.0,0.0
Canada - Quebec,Canada,Quebec,0.0,0,0,0.0,0.0
Canada - Saskatchewan,Canada,Saskatchewan,0.0,0,0,0.0,0.0
Central African Republic,Central African Republic,None,0.0,0,0,0.0,0.0
Chad,Chad,None,0.0,0,0,0.0,0.0
Chile,Chile,None,0.0,0,0,0.0,0.0
Colombia,Colombia,None,0.0,0,0,0.0,0.0
Congo (Kinshasa),Congo (Kinshasa),None,0.0,0,0,0.0,0.0
Costa Rica,Costa Rica,None,0.0,0,0,0.0,0.0
Cote d'Ivoire,Cote d'Ivoire,None,0.0,0,0,0.0,0.0
Croatia,Croatia,None,0.0,0,0,0.0,0.0
Cuba,Cuba,None,0.0,0,0,0.0,0.0
Cyprus,Cyprus,None,0.0,0,0,0.0,0.0
