region_id,region,decay_rate,actual_cases,actual_deaths,pred_cases,pred_deaths,hosp_days,vent_days,pct_diff_cases,pct_diff_deaths
Brazil__None,Brazil,0.0,888109.0,43959.0,582815,26949,824890,168987,0.0,0.0
Brazil__None,Brazil,0.05,888109.0,43959.0,721208,33262,994506,204689,23.745613959792138,23.425730081879635
Brazil__None,Brazil,0.1,888109.0,43959.0,891357,41012,1199014,247857,52.93995521725944,52.183754497302914
Brazil__None,Brazil,0.15,888109.0,43959.0,1099355,50473,1444577,299829,88.62846700910472,87.2908085610861
Brazil__None,Brazil,0.2,888109.0,43959.0,1353304,62010,1739458,362403,132.20129886819626,130.10130245537493
Germany__None,Germany,0.0,181887.0,8796.0,129840,4991,265920,46707,0.0,0.0
Germany__None,Germany,0.05,181887.0,8796.0,142771,5247,280063,49677,9.95918052980623,5.129232617685988
Germany__None,Germany,0.1,181887.0,8796.0,158265,5538,296035,53061,21.89232902016411,10.959727507321231
Germany__None,Germany,0.15,181887.0,8796.0,170375,5777,309436,55831,31.219192852501394,15.748347021489009
Germany__None,Germany,0.2,181887.0,8796.0,184573,6041,324146,58915,42.15418977170245,21.037868158477686
Spain__None,Spain,0.0,236311.0,26847.0,113965,13424,292268,49587,0.0,0.0
Spain__None,Spain,0.05,236311.0,26847.0,117938,13848,302115,51398,3.4861580309438325,3.1585220498243056
Spain__None,Spain,0.1,236311.0,26847.0,122541,14337,313498,53503,7.525117360527135,6.801251489362242
Spain__None,Spain,0.15,236311.0,26847.0,127031,14816,324710,55559,11.46492344130685,10.369487484328852
Spain__None,Spain,0.2,236311.0,26847.0,131933,15334,336580,57767,15.766244022149204,14.22824791312364
US__New_York,New York (US),0.0,383311.0,31618.0,121009,10749,328273,58497,0.0,0.0
US__New_York,New York (US),0.05,383311.0,31618.0,126513,11053,341398,60960,4.548422018159407,2.8281700620682697
US__New_York,New York (US),0.1,383311.0,31618.0,134985,11496,361121,64697,11.549554165297215,6.9494836722532805
US__New_York,New York (US),0.15,383311.0,31618.0,140952,11812,374763,67287,16.480592352498736,9.889292026245297
US__New_York,New York (US),0.2,383311.0,31618.0,147637,12167,390322,70224,22.00497483640056,13.191924828989492
